,Question,Choice1,Choice2,Choice3,Choice4,Topic,Level
106,เมื่อไหร่ที่ควรใช้ generator แทน list ใน Python?,"('เมื่อคุณต้องการเก็บข้อมูลขนาดใหญ่', 1)","('เมื่อคุณต้องการวน loop ผ่านข้อมูลหลายครั้ง', 0)","('เมื่อคุณต้องการใช้งานกับฟังก์ชันที่รองรับ generator', 0.5)","('ไม่มีกรณีที่ควรใช้ generator แทน list', 0)",IteratorsandGenerators,Hard
107,ความสำคัญของการใช้ generator ใน Python คืออะไร?,"('ช่วยลดการใช้ memory', 1)","('ช่วยเพิ่มความเร็วในการประมวลผล', 0.5)","('ช่วยลดความซับซ้อนของโค้ด', 0.5)","('ไม่มีความสำคัญใดๆ', 0)",IteratorsandGenerators,Hard
108,การทำงานของ generator ใน Python คืออะไร?,"('สร้างค่าขึ้นมาทีละหนึ่งและเก็บค่าที่สร้างไว้ใน memory', 1)","('สร้างค่าขึ้นมาทีละหนึ่งแต่ไม่เก็บค่าที่สร้างไว้ใน memory', 0)","('ใช้ค่าที่มีอยู่แล้วและวน loop ไปเรื่อยๆ', 0)","('ไม่สามารถทำงานร่วมกับฟังก์ชันใดๆ', 0)",IteratorsandGenerators,Medium
109,ฟังก์ชันใดใน Python ที่สามารถใช้ร่วมกับ generator?,"('map()', 1)","('filter()', 1)","('reduce()', 0.5)","('sorted()', 0)",IteratorsandGenerators,Medium
110,คำสั่งไหนที่ใช้สำหรับการเรียกใช้งาน iterator ใน Python?,"('next()', 1)","('iter()', 0)","('len()', 0)","('range()', 0)",IteratorsandGenerators,Easy
111,การทำงานของฟังก์ชัน iter() ในภาษา Python คืออะไร?,"('สร้าง iterator จาก object ที่กำหนด', 1)","('สร้าง generator จาก object ที่กำหนด', 0.25)","('สร้าง list จาก object ที่กำหนด', 0.5)","('ไม่มีการทำงานใดๆ', 0)",IteratorsandGenerators,Medium
112,การทำงานของฟังก์ชัน next() ในภาษา Python คืออะไร?,"('เรียกใช้งานเจเนอเรเตอร์ (generator) ให้ผลิตค่าถัดไป', 1)","('เรียกใช้งาน list ให้ผลิตค่าถัดไป', 0.25)","('เรียกใช้งาน tuple ให้ผลิตค่าถัดไป', 0.5)","('ไม่มีการทำงานใดๆ', 0)",IteratorsandGenerators,Medium
113,"ในภาษา Python, คุณสามารถใช้ฟังก์ชันใดในการสร้าง iterator?","('iter()', 0.75)","('next()', 0.25)","('len()', 0)","('range()', 0)",IteratorsandGenerators,Easy
114,เมื่อเรียกใช้งานเจเนอเรเตอร์ (generator) ในภาษา Python จะเกิดอะไรขึ้น?,"('จะวนซ้ำๆผ่านทุก element ใน sequence', 0.25)","('จะวนผ่าน element ใน sequence เพียงครั้งเดียว', 1)","('จะสร้าง sequence ของค่าที่ต้องการ', 0.5)","('จะไม่เกิดอะไรขึ้น', 0)",IteratorsandGenerators,Medium
115,การทำงานของเจเนอเรเตอร์ (generator) ในภาษา Python คืออะไร?,"('สร้าง sequence ของค่าที่ต้องการ', 1)","('วนซ้ำๆผ่านทุก element ใน sequence', 0.25)","('วนผ่าน element ใน sequence เพียงครั้งเดียว', 0.5)","('ไม่สามารถสร้าง sequence ของค่าที่ต้องการได้', 0)",IteratorsandGenerators,Medium
116,คำสั่งใดในภาษา Python ที่ใช้สำหรับการสร้าง generator?,"('yield', 1)","('return', 0.25)","('next()', 0.5)","('iter()', 0)",IteratorsandGenerators,Easy
117,ความแตกต่างระหว่าง iterator และ generator คืออะไร?,"('iterator สามารถวน loop ได้หลายรอบ แต่ generator ไม่สามารถทำได้', 0)","('generator สามารถวน loop ได้หลายรอบ แต่ iterator ไม่สามารถทำได้', 0)","('generator สร้างค่าขึ้นมาทีละหนึ่ง แต่ iterator ใช้ค่าที่มีอยู่แล้ว', 1)","('generator ใช้ค่าที่มีอยู่แล้ว แต่ iterator สร้างค่าขึ้นมาทีละหนึ่ง', 0)",IteratorsandGenerators,Hard
118,คุณสามารถใช้วิธีใดในการตรวจสอบว่า iterator ยังมีค่าเหลืออยู่หรือไม่?,"('การใช้ try-except block', 1)","('การใช้ len() function', 0)","('การใช้ next() function', 0)","('การใช้ range() function', 0)",IteratorsandGenerators,Hard
119,ฟังก์ชันใดใน Python ที่ใช้สำหรับการสร้าง generator?,"('generator()', 0)","('iter()', 0)","('yield', 1)","('next()', 0)",IteratorsandGenerators,Medium
120,ฟังก์ชันใดในภาษา Python ที่สามารถสร้าง generator ได้?,"('def', 0.75)","('generator()', 0)","('iter()', 0.25)","('yield()', 1)",IteratorsandGenerators,Medium
121,การทำงานของอิเทอเรเตอร์ (iterator) ในภาษา Python คืออะไร?,"('วนซ้ำๆผ่านทุก element ใน sequence', 1)","('วนซ้ำๆผ่านบาง element ใน sequence', 0.25)","('วนผ่าน element ใน sequence เพียงครั้งเดียว', 0.5)","('ไม่สามารถวนผ่าน element ใน sequence ได้', 0)",IteratorsandGenerators,Easy
122,ความแตกต่างระหว่าง list comprehension และ generator expression ในภาษา Python คืออะไร?,"('list comprehension สร้าง list ขึ้นมาทันที ส่วน generator expression สร้าง generator', 1)","('list comprehension สร้าง generator ขึ้นมาทันที ส่วน generator expression สร้าง list', 0)","('ทั้งสองอย่างสร้าง list ขึ้นมาทันที', 0.25)","('ทั้งสองอย่างสร้าง generator ขึ้นมาทันที', 0.5)",IteratorsandGenerators,Hard
123,การเรียกใช้ฟังก์ชัน sort() กับ list จะทำให้ list นั้นถูกจัดเรียงอย่างไร?,"('จากน้อยไปมาก', 0.5)","('จากมากไปน้อย', 0.75)","('ไม่มีการจัดเรียง', 0)","('ตามลำดับอักขระ', 1)",List,Medium
124,ความสามารถของ list comprehension คืออะไร?,"('สามารถสร้าง list ใหม่จาก list เดิม', 1)","('สามารถลบข้อมูลใน list', 0)","('สามารถค้นหาข้อมูลใน list', 0)","('ไม่สามารถทำอะไรได้', 0)",List,Easy
125,เมื่อเรียกใช้ฟังก์ชัน len() กับ list จะได้ค่าอะไรกลับมา?,"('จำนวนสมาชิกใน list', 1)","('ความยาวของ list', 0.75)","('ค่าแรกสุดใน list', 0)","('ค่าสุดท้ายใน list', 0)",List,Easy
126,ถ้าเรามี list ที่ชื่อ fruits และต้องการสร้าง list ใหม่ที่มีชื่อว่า new_fruits โดยใช้เฉพาะผลไม้ที่มีขนาดมากกว่า 5 ตัวอักษร จะสามารถทำได้ด้วยคำสั่งอะไร?,"('new_fruits = [fruit for fruit in fruits if len(fruit) > 5]', 1)","('new_fruits = [fruit for fruit in fruits if len(fruit) < 5]', 0)","('new_fruits = fruits[:5]', 0)","('new_fruits = fruits[5:]', 0)",List,Medium
127,การทำงานของ list comprehension คืออะไร?,"('การสร้าง list ใหม่จาก list เดิม', 1)","('การลบข้อมูลใน list', 0)","('การค้นหาข้อมูลใน list', 0)","('การเรียงลำดับข้อมูลใน list', 0)",List,Easy
128,ถ้าเรามี list ที่ชื่อ numbers และต้องการสร้าง list ใหม่ที่มีชื่อว่า even_numbers โดยใช้เฉพาะตัวเลขที่เป็นเลขคู่ จะสามารถทำได้ด้วยคำสั่งอะไร?,"('even_numbers = [num for num in numbers if num % 2 == 0]', 1)","('even_numbers = [num for num in numbers if num % 2!= 0]', 0)","('even_numbers = numbers[:len(numbers)//2]', 0)","('even_numbers = numbers[len(numbers)//2:]', 0)",List,Medium
129,ถ้าเรามี list ที่ชื่อ words และต้องการสร้าง list ใหม่ที่มีชื่อว่า reversed_words โดยใช้คำที่ถูกกลับหลัง จะสามารถทำได้ด้วยคำสั่งอะไร?,"('reversed_words = [word[::-1] for word in words]', 1)","('reversed_words = [word[1:] for word in words]', 0)","('reversed_words = words[:len(words)//2]', 0)","('reversed_words = words[len(words)//2:]', 0)",List,Medium
130,ถ้าเรามี list ที่ชื่อ students และต้องการสร้าง list ใหม่ที่มีชื่อว่า passing_students โดยใช้นักเรียนที่ได้คะแนนมากกว่าหรือเท่ากับ 60 จะสามารถทำได้ด้วยคำสั่งอะไร?,"(""passing_students = [student for student in students if student['grade'] >= 60]"", 1)","(""passing_students = [student for student in students if student['grade'] <= 60]"", 0)","('passing_students = students[:len(students)//2]', 0)","('passing_students = students[len(students)//2:]', 0)",List,Medium
131,"ถ้าเรามี list ที่ชื่อว่า my_list = [1, 2, 3, 4, 5] และเราต้องการสร้าง list ใหม่ที่มีค่าเป็นเลขคู่จาก list เดิม เราสามารถใช้ list comprehension ดังนี้:","('[x for x in my_list if x % 2 == 0]', 0.75)","('[x for x in my_list if x % 2!= 0]', 0)","('[x*2 for x in my_list]', 0)","('[x+2 for x in my_list]', 0.25)",List,Medium
132,"ถ้าเรามี list ที่ชื่อว่า words = ['python', 'is', 'awesome'] และเราต้องการรวมข้อมูลใน list นี้เป็น string เดียว เราสามารถใช้วิธีการใด?","(""' '.join(words)"", 0.75)","(""','.join(words)"", 0)","(""'_'.join(words)"", 0.25)","(""words.join('')"", 0)",List,Medium
133,ในการทำงานกับ list comprehension เราสามารถใช้วิธีการใดในการเรียงลำดับข้อมูลใน list?,"('sort()', 0.75)","('order()', 0)","('arrange()', 0)","('organize()', 0.25)",List,Medium
134,"ถ้าเรามี list ที่ชื่อว่า mixed = [1, 'a', 2, 'b', 3, 'c'] และเราต้องการแยกข้อมูลเป็น list ของตัวเลขและ list ของตัวอักษร เราสามารถใช้ list comprehension ดังนี้:","('nums = [x for x in mixed if type(x) == int], chars = [x for x in mixed if type(x) == str]', 0.75)","('nums = [x for x in mixed if type(x) == str], chars = [x for x in mixed if type(x) == int]', 0)","('nums = [x for x in mixed if x % 2 == 0], chars = [x for x in mixed if x % 2!= 0]', 0)","('nums = [x*2 for x in mixed], chars = [x+2 for x in mixed]', 0.25)",List,Hard
135,การสร้าง list ในภาษา Python สามารถทำได้โดยการใช้สัญลักษณ์อะไร?,"('()', 0)","('{}', 0.5)","('[]', 1)","('.', 0)",List,Easy
136,การเพิ่ม element เข้าไปใน list ของภาษา Python สามารถทำได้โดยใช้ method อะไร?,"('append', 1)","('insert', 0.75)","('extend', 0.5)","('remove', 0)",List,Medium
137,วิธีการเข้าถึง element ที่อยู่ใน list ของภาษา Python คือ?,"('โดยใช้ index', 1)","('โดยใช้ key', 0.25)","('โดยใช้ value', 0.5)","('ไม่สามารถเข้าถึงได้', 0)",List,Easy
138,การสร้าง list comprehension ในภาษา Python สามารถทำได้โดยการใช้สัญลักษณ์อะไร?,"('[]', 0.75)","('{}', 0)","('()', 0)","(':', 0.25)",List,Easy
139,ในการทำงานกับ list comprehension เราสามารถใช้วิธีการใดในการสลับตำแหน่งของข้อมูลใน list?,"('reverse()', 0.75)","('invert()', 0)","('flip()', 0)","('swap()', 0.25)",List,Medium
140,ในการทำงานกับ list comprehension เราสามารถใช้เงื่อนไขใดในการกรองข้อมูล?,"('if', 0.75)","('else', 0)","('for', 0.25)","('while', 0)",List,Medium
141,"ถ้าเรามี list ที่ชื่อว่า fruits = ['apple', 'banana', 'cherry'] และเราต้องการหาความยาวของ list นี้ เราสามารถใช้ฟังก์ชันใด?","('len()', 0.75)","('size()', 0)","('length()', 0)","('count()', 0.25)",List,Easy
142,ถ้าเรามี list ที่ชื่อ products และต้องการสร้าง list ใหม่ที่มีชื่อว่า discounted_products โดยใช้เฉพาะสินค้าที่มีส่วนลดมากกว่าหรือเท่ากับ 10% จะสามารถทำได้ด้วยคำสั่งอะไร?,"(""discounted_products = [product for product in products if product['discount'] >= 0.1]"", 1)","(""discounted_products = [product for product in products if product['discount'] <= 0.1]"", 0)","('discounted_products = products[:len(products)//2]', 0)","('discounted_products = products[len(products)//2:]', 0)",List,Hard
143,การสร้าง list comprehension ที่มีการทำงานหลายๆ ขั้นตอนสามารถทำได้โดยการใช้สัญลักษณ์อะไร?,"('for', 0.5)","('while', 0)","('if', 0.5)","('and', 0)",List,Hard
144,การสร้าง list comprehension ที่มีเงื่อนไขหลายๆ อย่างสามารถทำได้โดยการใช้สัญลักษณ์อะไร?,"('if', 0.5)","('elif', 0)","('else', 0)","('and', 0.5)",List,Medium
145,ในการทำงานกับ list ในภาษา Python เราสามารถใช้วิธีการใดในการเพิ่มข้อมูลเข้าไปใน list?,"('append', 0.75)","('insert', 0.25)","('extend', 0)","('remove', 0)",List,Easy
146,"ถ้าเรามี list ที่ชื่อว่า numbers = [1, 2, 3, 4, 5] และเราต้องการหาจำนวนรวมของข้อมูลใน list นี้ เราสามารถใช้วิธีการใด?","('sum(numbers)', 0.75)","('total(numbers)', 0)","('add(numbers)', 0)","('multiply(numbers)', 0.25)",List,Medium
147,การลบ element ออกจาก list ของภาษา Python สามารถทำได้โดยใช้ method อะไร?,"('remove', 1)","('pop', 0.75)","('del', 0.5)","('clear', 0)",List,Medium
148,"ในภาษา Python, การใช้วงวน (loop) แบบ for สามารถวนซ้ำคำสั่งที่มีจำนวนครั้งที่ไม่แน่นอนได้หรือไม่?","('ไม่สามารถทำได้', 0.75)","('สามารถทำได้', 0.25)","('ขึ้นอยู่กับสถานการณ์', 0)","('ไม่สามารถตอบได้', 0)",Loops,Medium
149,คำสั่ง for ในภาษา Python ใช้สำหรับการวนซ้ำแบบใด?,"('การวนซ้ำที่มีการนับจำนวนรอบที่แน่นอน', 0.75)","('การวนซ้ำที่ไม่มีการนับจำนวนรอบ', 0.25)","('การวนซ้ำที่มีการกระโดดข้าม', 0)","('การวนซ้ำที่มีการวนซ้ำไปเรื่อยๆ', 0)",Loops,Easy
150,การใช้วงวน (loop) แบบ while ใน Python สามารถวนซ้ำคำสั่งที่มีจำนวนครั้งที่แน่นอนได้หรือไม่?,"('สามารถทำได้', 1)","('ไม่สามารถทำได้', 0)","('ขึ้นอยู่กับสถานการณ์', 0.5)","('ไม่สามารถตอบได้', 0)",Loops,Medium
151,"ในภาษา Python, การใช้วงวน (loop) แบบ for จะต้องมีการกำหนดจำนวนครั้งที่แน่นอนหรือไม่?","('ไม่จำเป็นต้องกำหนด', 1)","('จำเป็นต้องกำหนด', 0)","('ขึ้นอยู่กับสถานการณ์', 0.5)","('ไม่สามารถตอบได้', 0)",Loops,Easy
152,การวนซ้ำคำสั่งใน Python สามารถทำได้โดยการใช้วงวน (loop) แบบไหนบ้าง?,"('for loop และ while loop', 1)","('for loop เท่านั้น', 0)","('while loop เท่านั้น', 0)","('if statement และ function', 0)",Loops,Hard
153,"ในภาษา Python, วงวน (loop) ที่ใช้สำหรับการวนซ้ำคำสั่งที่มีจำนวนครั้งที่แน่นอน คือ?","('for loop', 1)","('while loop', 0)","('if statement', 0)","('function', 0)",Loops,Easy
154,การวนซ้ำในภาษา Python สามารถทำได้โดยใช้คำสั่งใดบ้าง?,"('for', 0.75)","('while', 0.25)","('if', 0)","('def', 0)",Loops,Easy
155,วงวน (loop) ที่ใช้สำหรับการวนซ้ำคำสั่งโดยไม่จำกัดจำนวนครั้ง คือ?,"('for loop', 0)","('while loop', 1)","('if statement', 0)","('function', 0)",Loops,Medium
156,การใช้คำสั่ง break ใน Python จะทำให้วงวน (loop) ทำอะไร?,"('ออกจากวงวน', 1)","('ข้ามไปยังคำสั่งต่อไป', 0)","('วนซ้ำคำสั่งที่เหลือ', 0)","('หยุดการทำงานของโปรแกรม', 0)",Loops,Medium
157,"ในภาษา Python, วงวน (loop) ที่ใช้สำหรับการวนซ้ำคำสั่งหลายครั้ง คือ?","('for loop', 1)","('while loop', 0.75)","('if statement', 0)","('function', 0)",Loops,Easy
158,การใช้คำสั่ง continue ใน Python จะทำให้วงวน (loop) ทำอะไร?,"('ข้ามไปยังคำสั่งต่อไป', 0.75)","('ออกจากวงวน', 0)","('วนซ้ำคำสั่งที่เหลือ', 0.25)","('หยุดการทำงานของโปรแกรม', 0)",Loops,Medium
159,คำสั่ง range() ในภาษา Python ใช้สำหรับอะไร?,"('การสร้างรายการของตัวเลข', 0.75)","('การสร้างรายการของตัวอักษร', 0)","('การสร้างฟังก์ชัน', 0)","('การสร้างเงื่อนไข', 0.25)",Loops,Medium
160,การใช้วงวน (loop) แบบ while ใน Python จำเป็นต้องมีการกำหนดเงื่อนไขในการวนซ้ำหรือไม่?,"('จำเป็นต้องกำหนด', 1)","('ไม่จำเป็นต้องกำหนด', 0)","('ขึ้นอยู่กับสถานการณ์', 0.5)","('ไม่สามารถตอบได้', 0)",Loops,Medium
161,ในการใช้คำสั่ง for ในภาษา Python เราสามารถใช้ค่าใดเป็นค่าเริ่มต้น?,"('ตัวเลข', 0.25)","('ตัวอักษร', 0)","('รายการ', 0.75)","('ฟังก์ชัน', 0)",Loops,Medium
162,ในการใช้คำสั่ง while ในภาษา Python เราต้องระบุค่าอะไรในวงเล็บ?,"('เงื่อนไข', 0.75)","('ตัวเลข', 0)","('ตัวอักษร', 0)","('รายการ', 0.25)",Loops,Medium
163,คำสั่ง while ในภาษา Python ใช้สำหรับการวนซ้ำแบบใด?,"('การวนซ้ำที่มีการนับจำนวนรอบที่แน่นอน', 0)","('การวนซ้ำที่ไม่มีการนับจำนวนรอบ', 0.75)","('การวนซ้ำที่มีการกระโดดข้าม', 0)","('การวนซ้ำที่มีการวนซ้ำไปเรื่อยๆ', 0.25)",Loops,Medium
164,คำสั่ง break ในภาษา Python ใช้สำหรับอะไร?,"('การหยุดการวนซ้ำทันที', 0.75)","('การกระโดดข้ามการวนซ้ำ', 0)","('การวนซ้ำไปเรื่อยๆ', 0)","('การวนซ้ำที่มีการนับจำนวนรอบ', 0.25)",Loops,Medium
165,คำสั่ง continue ในภาษา Python ใช้สำหรับอะไร?,"('การวนซ้ำไปเรื่อยๆ', 0)","('การกระโดดข้ามการวนซ้ำ', 0.75)","('การหยุดการวนซ้ำทันที', 0)","('การวนซ้ำที่มีการนับจำนวนรอบ', 0.25)",Loops,Medium
166,คำสั่ง pass ในภาษา Python ใช้สำหรับอะไร?,"('การทำอะไรไม่ใดๆ', 0.75)","('การวนซ้ำไปเรื่อยๆ', 0)","('การกระโดดข้ามการวนซ้ำ', 0)","('การหยุดการวนซ้ำทันที', 0.25)",Loops,Easy
167,การวนซ้ำในภาษา Python สามารถทำได้โดยใช้คำสั่งใดบ้าง (ยกเว้น for และ while)?,"('do-while', 0.25)","('repeat', 0)","('recur', 0.75)","('loop', 0)",Loops,Hard
168,ถ้าเราต้องการนำเข้าเฉพาะฟังก์ชัน sin() จากโมดูล math ใน Python จะต้องใช้คำสั่งใด?,"('from math import sin', 1)","('import math.sin', 0)","('import math', 0)","('load math.sin', 0)",ModulesandImports,Medium
169,การนำเข้าโมดูล tkinter ใน Python สามารถทำได้โดยการใช้คำสั่งใด?,"('import tkinter as tk', 1)","('load tkinter', 0)","('include tkinter', 0)","('require tkinter', 0)",ModulesandImports,Easy
170,เมื่อเรียกใช้โมดูล pandas ใน Python แล้วเราสามารถใช้งานฟังก์ชันใดได้?,"('DataFrame()', 1)","('Series()', 0.75)","('read_csv()', 0.5)","('print()', 0)",ModulesandImports,Medium
171,การนำเข้าโมดูล numpy ใน Python สามารถทำได้โดยการใช้คำสั่งใด?,"('import numpy as np', 1)","('load numpy', 0)","('include numpy', 0)","('require numpy', 0)",ModulesandImports,Easy
172,เมื่อเรียกใช้โมดูล datetime ใน Python แล้วเราสามารถใช้งานฟังก์ชันใดได้?,"('now()', 1)","('strftime()', 0.75)","('timedelta()', 0.5)","('print()', 0)",ModulesandImports,Medium
173,การนำเข้าโมดูลทั้งหมดจาก package ใน Python สามารถทำได้โดยการใช้คำสั่งใด?,"('from package import *', 1)","('import package.*', 0)","('load package', 0)","('include package', 0)",ModulesandImports,Medium
174,เมื่อเรียกใช้โมดูล random ใน Python แล้วเราสามารถใช้งานฟังก์ชันใดได้?,"('randint()', 1)","('uniform()', 0.75)","('choice()', 0.5)","('print()', 0)",ModulesandImports,Easy
175,การสร้างโมดูลของตัวเองใน Python สามารถทำได้โดยการสร้างไฟล์ใด?,"('.py', 1)","('.txt', 0)","('.html', 0)","('.css', 0)",ModulesandImports,Medium
176,เมื่อเรียกใช้โมดูล math ใน Python โดยใช้คำสั่ง import math แล้วเราสามารถใช้งานฟังก์ชันใดได้?,"('sin()', 1)","('sqrt()', 0.75)","('random()', 0)","('print()', 0)",ModulesandImports,Easy
177,การใช้คำสั่ง import datetime ใน Python จะนำเข้าโมดูลใด?,"('โมดูลสำหรับการจัดการข้อมูล', 0)","('โมดูลสำหรับการทำงานกับเวลา', 1)","('โมดูลสำหรับการทำงานกับไฟล์', 0)","('โมดูลสำหรับการทำงานกับระบบปฏิบัติการ', 0)",ModulesandImports,Medium
178,การใช้คำสั่ง import random ใน Python จะนำเข้าโมดูลใด?,"('โมดูลสำหรับการจัดการข้อมูล', 0)","('โมดูลสำหรับการสร้างตัวเลขสุ่ม', 1)","('โมดูลสำหรับการทำงานกับเวลา', 0)","('โมดูลสำหรับการทำงานกับไฟล์', 0)",ModulesandImports,Medium
179,การใช้คำสั่ง import re ใน Python จะนำเข้าโมดูลใด?,"('โมดูลสำหรับการทำงานกับข้อความ', 1)","('โมดูลสำหรับการทำงานกับไฟล์', 0)","('โมดูลสำหรับการทำงานกับเวลา', 0)","('โมดูลสำหรับการทำงานกับระบบปฏิบัติการ', 0)",ModulesandImports,Medium
180,การ import ฟังก์ชันเฉพาะจากโมดูล os ใน Python สามารถทำได้โดยใช้คำสั่งใด?,"('from os import path', 1)","('import os.path', 0)","('load os.path', 0)","('require os.path', 0)",ModulesandImports,Medium
181,การ import โมดูลทั้งหมดจาก package ใน Python สามารถทำได้โดยใช้คำสั่งใด?,"('from package import *', 1)","('import package.*', 0)","('load package.*', 0)","('require package.*', 0)",ModulesandImports,Hard
182,การใช้คำสั่ง from math import sin จะนำเข้าฟังก์ชันใดจากโมดูล math?,"('sin', 1)","('cos', 0)","('tan', 0)","('log', 0)",ModulesandImports,Easy
183,โมดูล sys ใน Python มีประโยชน์ในการทำงานกับสิ่งใด?,"('การจัดการข้อมูล', 0)","('การทำงานกับระบบปฏิบัติการ', 1)","('การทำงานกับเวลา', 0)","('การทำงานกับไฟล์', 0)",ModulesandImports,Medium
184,การ import โมดูลเฉพาะฟังก์ชันใน Python สามารถทำได้โดยใช้คำสั่งใด?,"('from module import function', 1)","('import module.function', 0)","('load module.function', 0)","('require module.function', 0)",ModulesandImports,Medium
185,การนำเข้าโมดูลในภาษา Python สามารถทำได้โดยการใช้คำสั่งใด?,"('import', 1)","('load', 0)","('include', 0)","('require', 0)",ModulesandImports,Easy
186,เมื่อเรียกใช้โมดูล math ใน Python จะต้องใช้คำสั่งใด?,"('from math import *', 0.5)","('import math', 1)","('load math', 0)","('require math', 0)",ModulesandImports,Easy
187,การ import โมดูลในภาษา Python สามารถทำได้โดยใช้คำสั่งใด?,"('import', 1)","('require', 0)","('include', 0)","('load', 0)",ModulesandImports,Easy
188,คุณสมบัติของการโปรแกรมแบบ Object-Oriented คืออะไร?,"('Encapsulation', 0.5)","('Inheritance', 0.5)","('Polymorphism', 0.5)","('All of the above', 1)",Object-Oriented Programming (OOP),Medium
189,วิธีการที่ใช้เพื่อป้องกันการเข้าถึงข้อมูลโดยตรงจากภายนอก object คืออะไร?,"('Encapsulation', 1)","('Inheritance', 0)","('Polymorphism', 0)","('Abstraction', 0)",Object-Oriented Programming (OOP),Medium
190,คลาสใดในภาษา Python ที่ใช้สำหรับการสร้าง object?,"('Class', 1)","('Object', 0)","('Function', 0)","('Module', 0)",Object-Oriented Programming (OOP),Easy
191,การสร้าง class ที่ไม่สามารถสร้าง object ได้ คืออะไร?,"('Abstract class', 1)","('Concrete class', 0)","('Static class', 0)","('Singleton class', 0)",Object-Oriented Programming (OOP),Hard
192,ความหมายของคำว่า 'Abstraction' ในภาษา Python คืออะไร?,"('การแสดงเฉพาะส่วนที่สำคัญของข้อมูล', 1)","('การสร้างคลาสใหม่', 0.25)","('การลบคลาส', 0)","('การแก้ไขคลาส', 0.5)",Object-Oriented Programming (OOP),Medium
193,การสร้าง method ที่สามารถเรียกใช้งานได้เฉพาะภายใน class เท่านั้น คืออะไร?,"('Private method', 1)","('Protected method', 0.5)","('Public method', 0)","('Static method', 0)",Object-Oriented Programming (OOP),Hard
194,วิธีการสร้างเมธอดพิเศษ (Special Method) ในภาษา Python คืออะไร?,"('การใช้เครื่องหมายใต้ขีด (_) ก่อนและหลังชื่อเมธอด', 1)","('การใช้เครื่องหมายจุด (.) ก่อนชื่อเมธอด', 0.25)","('การใช้เครื่องหมายอัศเจรีย (!) หลังชื่อเมธอด', 0)","('การใช้เครื่องหมายทวีคูณ (*) ก่อนชื่อเมธอด', 0.5)",Object-Oriented Programming (OOP),Medium
195,การสร้าง attribute ที่สามารถเข้าถึงได้เฉพาะภายใน class เท่านั้น คืออะไร?,"('Private attribute', 1)","('Protected attribute', 0.5)","('Public attribute', 0)","('Static attribute', 0)",Object-Oriented Programming (OOP),Hard
196,วิธีการเรียกใช้เมธอดของคลาสในภาษา Python คืออะไร?,"('การใช้จุด (.)', 1)","('การใช้เครื่องหมายคำถาม (?)', 0)","('การใช้เครื่องหมายอัศเจรีย (!)', 0)","('การใช้เครื่องหมายทวีคูณ (*)', 0.25)",Object-Oriented Programming (OOP),Easy
197,ความหมายของคำว่า 'Inheritance' ในภาษา Python คืออะไร?,"('การรับช่วงต่อจากคลาสอื่น', 1)","('การสร้างคลาสใหม่', 0.25)","('การลบคลาส', 0)","('การแก้ไขคลาส', 0.5)",Object-Oriented Programming (OOP),Medium
198,การสร้างวัตถุ (Object) จากคลาสในภาษา Python ทำอย่างไร?,"('การใช้คำสั่ง new', 0)","('การใช้คำสั่ง create', 0)","('การใช้คำสั่ง class_name()', 1)","('การใช้คำสั่ง object_name = class_name()', 0.5)",Object-Oriented Programming (OOP),Easy
199,ความหมายของคำว่า 'Encapsulation' ในภาษา Python คืออะไร?,"('การห่อหุ้มข้อมูลและฟังก์ชันในคลาสเดียวกัน', 1)","('การแบ่งปันข้อมูลระหว่างคลาส', 0.25)","('การสร้างคลาสใหม่', 0)","('การลบคลาส', 0.5)",Object-Oriented Programming (OOP),Medium
200,ความหมายของคำว่า 'Polymorphism' ในภาษา Python คืออะไร?,"('การแสดงผลลัพธ์ที่แตกต่างกันของเมธอดที่มีชื่อเดียวกัน', 1)","('การสร้างคลาสใหม่', 0.25)","('การลบคลาส', 0)","('การแก้ไขคลาส', 0.5)",Object-Oriented Programming (OOP),Hard
201,คุณสมบัติของการเชื่อมโยงคลาสในภาษา Python คืออะไร?,"('การรับช่วงต่อจากคลาสอื่น', 1)","('การสร้างคลาสใหม่', 0.25)","('การลบคลาส', 0)","('การแก้ไขคลาส', 0.5)",Object-Oriented Programming (OOP),Medium
202,การสร้างคลาสในภาษา Python จำเป็นต้องใช้คำสั่งใด?,"('class', 1)","('object', 0.25)","('instance', 0.5)","('inheritance', 0)",Object-Oriented Programming (OOP),Easy
203,การสร้าง class ใหม่ที่มีคุณสมบัติและพฤติกรรมเหมือนกับ class เดิม แต่สามารถเพิ่มเติมหรือแก้ไขได้ คืออะไร?,"('Inheritance', 1)","('Encapsulation', 0)","('Polymorphism', 0)","('Abstraction', 0)",Object-Oriented Programming (OOP),Medium
204,การกำหนดให้ method หรือ function สามารถทำงานได้กับหลายประเภทของข้อมูล คืออะไร?,"('Polymorphism', 1)","('Inheritance', 0)","('Encapsulation', 0)","('Abstraction', 0)",Object-Oriented Programming (OOP),Medium
205,การแสดงผลลัพธ์ของ object เป็นในรูปแบบที่สามารถอ่านได้ง่าย คืออะไร?,"('__str__()', 1)","('__repr__()', 0.5)","('print()', 0)","('display()', 0)",Object-Oriented Programming (OOP),Easy
